cohort,target,method,seed,n_folds,n_te,n_pos,n_events,n_athletes,auc,ap,auc_within_athlete,n_athletes_with_both,auc_between_athlete,f1_calibrated,event_detection_rate
soccermon,TeamA-2021,LSTM,42,4,8234,62,8,23,0.7202485276238297,0.01591354503257302,0.5269515184708308,4,0.6578947368421053,0.03391883706844337,0.625
soccermon,TeamA-2020,LSTM,42,5,9531,427,28,27,0.6432050610586797,0.06543681929152713,0.5507628665430263,11,0.7784090909090908,0.09969918349806618,0.42857142857142855
soccermon,TeamA-2021,Transformer,123,4,8234,62,8,23,0.7721073531965957,0.029385996692282212,0.6001119366967743,4,0.8026315789473684,0.05017921146953405,0.75
soccermon,TeamA-2021,GAT,123,4,8234,62,8,23,0.6000742109168995,0.011808773010540539,0.4919316221982873,4,0.5657894736842105,0.021505376344086023,0.5
soccermon,TeamB-2020,XGBoost,42,3,5295,35,3,15,0.6880554046713743,0.013677745558175285,0.6579506935852721,3,0.6944444444444444,0.016332590942835932,0.6666666666666666
soccermon,TeamA-2020,GAT,123,5,9531,427,28,27,0.6238467894288431,0.06337460080952124,0.6945013675266068,11,0.6534090909090908,0.12209802235597593,0.6428571428571429
soccermon,TeamB-2020,AthleteRate,123,3,5295,35,3,15,0.3849538294405214,0.005547012005935519,0.5,3,0.5,0.0077777777777777776,0.3333333333333333
soccermon,TeamA-2021,ProtoNet,123,4,8234,62,8,23,0.6746996036821246,0.013245531561408723,0.633059316625811,4,0.618421052631579,0.03345280764635603,0.75
soccermon,TeamA-2021,XGBoost,2026,4,8234,62,8,23,0.6962859015047449,0.013232295007003637,0.5539700908423482,4,0.7105263157894737,0.032648125755743655,0.75
soccermon,TeamB-2020,ProtoNet,123,3,5295,35,3,15,0.9324388919065725,0.053843890279843196,0.92171733866011,3,0.6388888888888888,0.05026656511805026,1.0
soccermon,TeamB-2020,XGBoost,2026,3,5295,35,3,15,0.7430255296034765,0.021816885354734448,0.6451830232339653,3,0.75,0.017804154302670624,0.3333333333333333
